Tarih;Ana Depo;Depo;GLN;Kontak Adı;Kontak Brick;Ürün;Form;Satış Adet;Satış MF;Toplam Satış;Toplam Tutar;İade
28.05.2025;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001423613;BAHÇELER ECZANESİ;SAMSUN BAFRA;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;-9,0;-3,0;-12,0;-488,97;
05.05.2025;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001116751;BAHÇELİEVLER ECZANESİ;SAMSUN BAHCELIEVLER;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;-7,0;-1,0;-8,0;-776,44;
18.05.2025;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001433049;PINAR ECZANESİ;SAMSUN ATAKENT+19 MAYIS;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;20,0;6,0;26,0;1.086,6;
28.05.2025;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001110636;DEREBAHÇE ECZANESİ;SAMSUN ADALET;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;3,0;0,0;3,0;234,54;
06.05.2025;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001156009;ŞİFA ECZANESİ;CORUM KARGI+OSMANCIK;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3,0;0,0;3,0;253,16;
29.05.2025;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001477821;DİLŞAT ECZANESİ;SAMSUN ATAKENT+19 MAYIS;PANOCER;Panocer 40 mg 14 Enterik Kaplı Tablet;5,0;1,0;6,0;300,15;
14.05.2025;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001720156;LAVANTA ECZANESİ;AMASYA MERKEZ -1;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;5,0;1,0;6,0;390,89;
29.05.2025;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001118144;SÖĞÜTLÜ ECZANESİ;SAMSUN TERME;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;20,0;6,0;26,0;1.086,6;
14.05.2025;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001121373;AKDENİZ ECZANESİ;SAMSUN TERME;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10,0;4,0;14,0;781,79;
15.05.2025;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001755202;YİĞİT ECZANESİ;SAMSUN DOGU ILCELER;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;2,0;0,0;2,0;221,83;
27.05.2025;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001124640;MADEN ECZANESİ;AMASYA MERKEZ -2;ACİDPASS;Acidpass 10/800/165 mg 6 Çiğneme Tablet;2,0;0,0;2,0;104,39;
27.05.2025;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001124640;MADEN ECZANESİ;AMASYA MERKEZ -2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3,0;0,0;3,0;253,16;
13.05.2025;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001130092;CANSARAN ECZANESİ;AMASYA MERKEZ -2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;1,0;0,0;1,0;84,39;
22.05.2025;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001120895;SARAÇOĞLU ECZANESİ;AMASYA MERKEZ -2;PANOCER;Panocer 40 mg 14 Enterik Kaplı Tablet;5,0;1,0;6,0;300,15;
