Tarih;Ana Depo;Depo;GLN;Kontak Adı;Kontak Brick;Ürün;Form;Satış Adet;Satış MF;Toplam Satış;Toplam Tutar;İade
04.06.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001151486;SÜHA ECZANESİ;SIVAS MERKEZ -4;PANOCER;Panocer 40 mg 14 Enterik Kaplı Tablet;5,0;1,0;6,0;300,15;
20.06.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001158652;MURAT ECZANESİ;SAMSUN ADALET;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10,0;4,0;14,0;781,79;
23.06.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001170333;YİĞİT ECZANESİ;TOKAT MERKEZ -2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3,0;0,0;3,0;253,16;
23.06.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001713301;YENİŞEHİR ECZANESİ;SIVAS MERKEZ -4;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10,0;4,0;14,0;781,79;
20.06.2025;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001168767;PASİNLER ECZANESİ;ERZURUM GUNEY ILCELER;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;10,0;3,0;13,0;1.109,16;
30.06.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001119615;MERKEZ ECZANESİ;RIZE BATI ILCELER;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;10,0;2,0;12,0;543,3;
11.06.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001706730;YILMAZ ECZANESİ;AMASYA ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;160,0;64,0;224,0;13.501,79;
24.06.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001205608;DİLEK ECZANESİ;TRABZON MERKEZ -1;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;2,0;0,0;2,0;221,83;
19.06.2025;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001422500;YENİ NİL ECZANESİ;ERZINCAN MERKEZ;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;30,0;15,0;45,0;2.345,36;
02.06.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001124886;CANLI ECZANESİ;AMASYA MERKEZ -2;DEXİREN;Dexiren 25 mg 20 Film Kaplı Tablet;5,0;0,0;5,0;210,87;
30.06.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001127818;HASKÖY NALAN ECZANESİ;SAMSUN CANIK;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;5,0;1,0;6,0;554,58;
06.06.2025;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001554744;ŞULE AYDIN ECZANESİ;ERZURUM MERKEZ -1;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;10,0;2,0;12,0;543,3;
05.06.2025;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001232307;GÜROL ECZANESİ;ERZINCAN MERKEZ;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10,0;4,0;14,0;781,79;
