Tarih;Ana Depo;Depo;GLN;Kontak Adı;Kontak Brick;Ürün;Form;Satış Adet;Satış MF;Toplam Satış;Toplam Tutar;İade
1.06.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8,68E+12;UMUT ECZANESİ;TRABZON AKCAABAT;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;500;409;909;52.656;
19.06.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8,68E+12;DENİZ ECZANESİ;ARTVIN KUZEY ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;330;270;600;34.753;
1.06.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8,68E+12;UMUT ECZANESİ;TRABZON AKCAABAT;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;300;120;420;33.670;
30.06.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8,68E+12;DOSMA ECZANESİ;RIZE MERKEZ;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;300;200;500;25.245;
10.06.2026;ALLIANCE HEALTHCARE;AH SAMSUN;8,68E+12;ÖMÜR ECZANESİ;AMASYA ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;165;135;300;17.377;
10.06.2026;ALLIANCE HEALTHCARE;AH SAMSUN;8,68E+12;KIZIKLI ECZANESİ;AMASYA ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;165;135;300;17.377;
3.06.2026;ALLIANCE HEALTHCARE;AH SAMSUN;8,68E+12;GONCA ECZANESİ;AMASYA MERKEZ -1;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;165;135;300;17.377;
2.06.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8,68E+12;ÖZCAN ECZANESİ;ARTVIN MERKEZ+DOGU+GUNEY;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;165;135;300;17.377;
2.06.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8,68E+12;ÖZLEM ECZANESİ;ARTVIN KUZEY ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;165;135;300;17.377;
2.06.2026;ALLIANCE HEALTHCARE;AH TRABZON;8,68E+12;KOÇAK ECZANESİ;ARTVIN MERKEZ+DOGU+GUNEY;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;165;135;300;17.377;
4.06.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8,68E+12;CEBECİ ECZANESİ;ARTVIN KUZEY ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;165;135;300;17.377;
1.06.2026;ALLIANCE HEALTHCARE;AH SAMSUN;8,68E+12;DERMAN ECZANESİ;CORUM GUNEYBATI ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;165;135;300;17.377;
1.06.2026;ALLIANCE HEALTHCARE;AH SAMSUN;8,68E+12;ERAY ECZANESİ;CORUM MERKEZ -3;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;165;135;300;17.377;
9.06.2026;ALLIANCE HEALTHCARE;AH SAMSUN;8,68E+12;DEFNE ECZANESİ;CORUM GUNEYBATI ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;165;135;300;17.377;
1.06.2026;ALLIANCE HEALTHCARE;AH SAMSUN;8,68E+12;AKMAN ECZANESİ;CORUM MERKEZ -2;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;165;135;300;17.377;
16.06.2026;NEVZAT ECZA DEPOSU;NEVZAT SAMSUN;8,68E+12;ARZUM ECZANESİ;CORUM GUNEYBATI ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;165;135;300;17.377;
