Tarih;Ana Depo;Depo;GLN;Kontak Adı;Kontak Brick;Ürün;Form;Satış Adet;Satış MF;Toplam Satış;Toplam Tutar;İade
21.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001531691;ÇALIŞKAN ECZANESİ;CORUM MERKEZ -3;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2,0;0,0;2,0;168,77;
28.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001597277;NEVA ECZANESİ;ORDU UNYE;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;5,0;0,0;5,0;421,93;
09.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001725984;YENİ SANAYİ ECZANESİ;ORDU MERKEZ -3;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3,0;0,0;3,0;253,16;
12.07.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001271818;İLKNUR ECZANESİ;TRABZON MERKEZ -3;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;5,0;1,0;6,0;554,58;
03.07.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001338566;FARUK ECZANESİ;TRABZON MERKEZ -1;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;5,0;1,0;6,0;390,89;
09.07.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001338870;ÇAĞLAR ECZANESİ;TRABZON BATI ILCELER - 2;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;30,0;15,0;45,0;3.327,48;
29.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001151431;KÜBRA ECZANESİ;SIVAS MERKEZ -2;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10,0;4,0;14,0;781,79;
10.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001119929;SAĞLIK ECZANESİ;SAMSUN DOGU ILCELER - 2;DEXİREN;Dexiren 25 mg 20 Film Kaplı Tablet;10,0;5,0;15,0;421,74;
22.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001123544;KARADAYI ECZANESİ;SIVAS MERKEZ -3;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;5,0;1,0;6,0;554,58;
21.07.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001216154;ELVAN ECZANESİ;TRABZON MERKEZ -2;DEXİREN;Dexiren 25 mg 20 Film Kaplı Tablet;2,0;0,0;2,0;84,35;
22.07.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001120543;KÜÇÜKVAR ECZANESİ;RIZE MERKEZ;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;10,0;2,0;12,0;543,3;
09.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001144495;ÖZTÜRK ECZANESİ;CORUM MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86;
03.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001187799;POYRAZ ECZANESİ;ORDU MERKEZ -1;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;30,0;15,0;45,0;2.345,36;
30.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001188444;SAĞLIK ECZANESİ;ORDU UNYE;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;5,0;1,0;6,0;390,89;
18.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001243457;ÇAĞDAŞ ECZANESİ;TOKAT ERBAA;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;10,0;3,0;13,0;1.109,16;
22.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001277001;GAZİ ECZANESİ;ORDU FATSA;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2,0;0,0;2,0;168,77;
10.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001278268;LOKMAN ECZANESİ;ORDU FATSA;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;30,0;15,0;45,0;2.345,36;
03.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001160853;TAŞOVA ECZANESİ;AMASYA GOYNUCEK+TASOVA;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10,0;4,0;14,0;781,79;
10.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001626922;DİLA ECZANESİ;SAMSUN BAHCELIEVLER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2,0;0,0;2,0;168,77;
30.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001649273;ELİF ECZANESİ;ORDU FATSA;DESTEVİT;Destevit 20.000 IU 14 Yumuşak Kapsül;3,0;0,0;3,0;260,28;
22.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001531691;ÇALIŞKAN ECZANESİ;CORUM MERKEZ -3;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2,0;0,0;2,0;168,77;
08.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001116980;HANDE ECZANESİ;SAMSUN ILKADIM - 2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86;
25.07.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001468201;KENDİRLİ ECZANESİ;RIZE MERKEZ;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;10,0;2,0;12,0;543,3;
10.07.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001527892;FEYZA ECZANESİ;TRABZON DOGU ILCELER - 2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86;
28.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001514069;GÜNEŞ ECZANESİ;SAMSUN VEZIRKOPRU;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;2,0;0,0;2,0;108,66;
03.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001568246;GÖKÇE ECZANESİ;SIVAS MERKEZ -4;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;1,0;0,0;1,0;84,39;
30.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001158898;ÖMÜR ECZANESİ;AMASYA ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10,0;4,0;14,0;781,79;
29.07.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001471218;ARAKLI ŞİFA ECZANESİ;TRABZON DOGU ILCELER - 2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86;
19.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001101047;ERTURAN ECZANESİ;SAMSUN HURRIYET+ZAFER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2,0;0,0;2,0;168,77;
02.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001103447;HEKİMOĞLU ECZANESİ;SAMSUN CANIK;DESTEVİT;Destevit 20.000 IU 14 Yumuşak Kapsül;2,0;0,0;2,0;173,52;
15.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001838660;BALIM ECZANESİ;TOKAT DOGU ILCELER;DEXİREN;Dexiren 25 mg 20 Film Kaplı Tablet;25,0;15,0;40,0;1.054,35;
17.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001158515;HAYAT ECZANESİ;ORDU GUNEY ILCELER -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20,0;3,0;23,0;1.687,72;
27.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001158744;ZEREN ECZANESİ;SIVAS MERKEZ -3;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;2,0;0,0;2,0;221,83;
01.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001158805;GÜLERSİN ECZANESİ;SIVAS MERKEZ -2;DESTEVİT;Destevit 20.000 IU 14 Yumuşak Kapsül;100,0;33,0;133,0;8.676,0;
31.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001664030;CINAR ECZANESI;TOKAT ERBAA;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20,0;3,0;23,0;1.687,72;
02.07.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001674305;CEBECİ ECZANESİ;SAMSUN VEZIRKOPRU;DEXİREN;Dexiren 25 mg 20 Film Kaplı Tablet;10,0;5,0;15,0;421,74;
28.07.2025;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001461301;ROZA ECZANESİ;AGRI ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3,0;0,0;3,0;253,16;
10.07.2025;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001836215;FATMA KOÇ ECZANESİ;AGRI DIYADIN+D.BEYAZIT;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;50,0;35,0;85,0;3.908,94;
06.07.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001108459;TOPÇU ECZANESİ;RIZE MERKEZ;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;10,0;2,0;12,0;543,3;
