Tarih;Ana Depo;Depo;GLN;Kontak Adı;Kontak Brick;Ürün;Form;Satış Adet;Satış MF;Toplam Satış;Toplam Tutar
01.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001480630;HAYAT ECZANESİ;AGRI MERKEZ;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;10,0;3,0;13,0;1.109,16
02.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001714285;DERMAN ECZANESİ;ERZURUM GUNEY ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;5,0;1,0;6,0;390,89
05.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001603749;ERZİNCAN  ECZANESI;ERZINCAN MERKEZ;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;30,0;15,0;45,0;2.345,36
05.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001701469;EREN ECZANESİ;AGRI MERKEZ;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;30,0;15,0;45,0;2.345,36
06.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001688609;SERHAT ECZANESİ;ERZURUM GUNEY ILCELER;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;10,0;3,0;13,0;1.109,16
07.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001238194;HİZMET ECZANESİ;ERZINCAN MERKEZ;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;4,0;0,0;4,0;337,54
07.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001500628;TUĞÇE ECZANESİ;ERZINCAN MERKEZ;ACİDPASS;Acidpass 10/800/165 mg 6 Çiğneme Tablet;1,0;0,0;1,0;52,19
07.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001441976;CAN ECZANESİ;AGRI DIYADIN+D.BEYAZIT;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;50,0;30,0;80,0;3.908,94
08.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001453986;SELİMİYE ECZANESİ;ERZURUM MERKEZ -3;ACİDPASS;Acidpass 10/800/165 mg 6 Çiğneme Tablet;5,0;0,0;5,0;260,96
08.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001509140;SERRA ECZANESİ;ERZURUM MERKEZ -1;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;30,0;15,0;45,0;3.327,48
10.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001111138;YILDIZKENT KAVŞAK ECZANESİ;ERZURUM MERKEZ -3;ACİDPASS;Acidpass 10/800/165 mg 6 Çiğneme Tablet;3,0;0,0;3,0;156,58
10.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001599837;MENGÜCELİ ECZANESİ;ERZINCAN MERKEZ;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;5,0;1,0;6,0;554,58
10.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001307692;SAFFET ECZANESİ;KARS ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3,0;0,0;3,0;253,16
10.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001174836;ŞİFA ECZANESİ;KARS ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2,0;0,0;2,0;168,77
10.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001688609;SERHAT ECZANESİ;ERZURUM GUNEY ILCELER;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;10,0;3,0;13,0;1.109,16
11.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001121328;KAYA ECZANESİ;ERZURUM MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3,0;0,0;3,0;253,16
11.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001461868;ÇINAR ECZANESİ;ERZURUM MERKEZ -2;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;5,0;1,0;6,0;390,89
11.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001103461;ADA ECZANESİ;ERZURUM MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 6 Çiğneme Tablet;2,0;0,0;2,0;104,39
12.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001113989;ZEHRA ECZANESİ;ERZURUM GUNEY ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86
12.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001103461;ADA ECZANESİ;ERZURUM MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2,0;0,0;2,0;168,77
12.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001238194;HİZMET ECZANESİ;ERZINCAN MERKEZ;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10,0;3,0;13,0;781,79
20.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001470860;IHLAMUR ECZANESİ;ERZINCAN MERKEZ;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;1,0;0,0;1,0;84,39
21.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001126392;MERKEZ ECZANESİ;ERZURUM MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;1,0;0,0;1,0;84,39
21.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001178650;TAMER ECZANESİ;KARS ILCELER;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;10,0;3,0;13,0;1.109,16
21.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001500628;TUĞÇE ECZANESİ;ERZINCAN MERKEZ;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;1,0;0,0;1,0;84,39
21.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001701476;OKYANUS ECZANESİ;AGRI MERKEZ;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;5,0;1,0;6,0;554,58
21.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001441976;CAN ECZANESİ;AGRI DIYADIN+D.BEYAZIT;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;30,0;15,0;45,0;2.345,36
23.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001235896;PINAR ECZANESİ;ERZINCAN MERKEZ;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2,0;0,0;2,0;168,77
24.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001500628;TUĞÇE ECZANESİ;ERZINCAN MERKEZ;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;2,0;0,0;2,0;108,66
24.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001714285;DERMAN ECZANESİ;ERZURUM GUNEY ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10,0;3,0;13,0;781,79
25.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001453986;SELİMİYE ECZANESİ;ERZURUM MERKEZ -3;PANOCER;Panocer 40 mg 14 Enterik Kaplı Tablet;10,0;3,0;13,0;600,3
25.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001238194;HİZMET ECZANESİ;ERZINCAN MERKEZ;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;5,0;1,0;6,0;390,89
25.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001315734;ÇAĞLA ECZANESİ;ERZINCAN MERKEZ;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3,0;0,0;3,0;253,16
25.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001516971;KERVANSARAY ECZANESİ;ERZURUM MERKEZ -3;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;5,0;1,0;6,0;554,58
26.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001499601;AĞIRMAN ECZANESİ;ERZURUM MERKEZ -3;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;-6,0;-3,0;-9,0;-665,5
26.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001461868;ÇINAR ECZANESİ;ERZURUM MERKEZ -2;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;5,0;1,0;6,0;390,89
26.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001103461;ADA ECZANESİ;ERZURUM MERKEZ -1;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;5,0;1,0;6,0;390,89
26.02.2025;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;8680001119226;ÜNLÜ ECZANESİ;ERZURUM MERKEZ -3;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86
