Tarih;Ana Depo;Depo;GLN;Kontak Adı;Kontak Brick;Ürün;Form;Satış Adet;Satış MF;Toplam Satış;Toplam Tutar;İade
01.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001163717;KARADENİZ ECZANESİ;ORDU DOGU ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13;1.369;
01.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001633036;CANSU ECZANESİ;CORUM MERKEZ -2;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13;1.369;
01.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001263066;LAÇİN ECZANESİ;SINOP MERKEZ;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13;1.369;
02.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001683642;GÜZELKENT ECZANESİ;SINOP DOGU-BATI ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2;224;
02.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001654994;ULU ECZANESİ;TRABZON DOGU ILCELER -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
02.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001726905;DEVA ECZANESİ;ORDU DOGU ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
02.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001918928;ÖNAL ECZANESİ;TRABZON DOGU ILCELER -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;5;0;5;561;
02.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001232178;BERİL ECZANESİ;TRABZON MERKEZ -3;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
02.08.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001181261;ÖZTÜRK ECZANESİ;TOKAT TURHAL;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2;224;
02.08.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001124268;ÖZGÜR ECZANESİ;SAMSUN ATAKUM;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
