Tarih;Ana Depo;Depo;GLN;Kontak Adı;Kontak Brick;Ürün;Form;Satış Adet;Satış MF;Toplam Satış;Toplam Tutar;İade
08.10.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001599530;SAĞLIK ECZANESİ;SIVAS MERKEZ -4;DESTEVİT;Destevit 20.000 IU 14 Yumuşak Kapsül;75,0;25,0;100,0;6.507,0;
03.10.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001116522;ÜNLÜ ECZANESİ;SINOP DOGU-BATI ILCELER;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;-4,0;0,0;-4,0;-217,32;
27.10.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001748204;HAYAT PINARI;TRABZON AKCAABAT;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;-10,0;-1,0;-11,0;-543,3;
07.10.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001118502;ARHAVİ ECZANESİ;ARTVIN KUZEY ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86;
23.10.2025;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001113989;ZEHRA ECZANESİ;ERZURUM GUNEY ILCELER;DEXİREN;Dexiren 25 mg 20 Film Kaplı Tablet;48,0;52,0;100,0;2.024,35;
28.10.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001247813;SAHİL ECZANESİ;TRABZON MERKEZ -4;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86;
27.10.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001385683;GÜVENAY ECZANESİ;ORDU UNYE;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;3,0;0,0;3,0;162,99;
17.10.2025;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001605200;EVREN ECZANESİ;ERZURUM MERKEZ -3;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;2,0;0,0;2,0;108,66;
24.10.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001108602;YÜKSELEN ECZANESİ;SAMSUN BAHCELIEVLER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;1,0;0,0;1,0;84,39;
22.10.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001186273;ÇAĞIN ECZANESİ;GIRESUN BULANCAK+PIRAZIZ;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86;
13.10.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001142606;DAMLA ECZANESİ;CORUM MERKEZ -3;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;-47,0;-18,0;-65,0;-3.966,33;
12.10.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001211364;DENİZ ECZANESİ;GIRESUN DOGU ILCELER -2;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;6,0;1,0;7,0;665,5;
27.10.2025;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001231560;KÜLTÜR ECZANESİ;ERZINCAN MERKEZ;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;5,0;1,0;6,0;554,58;
02.10.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001718559;HAZAL ECZANESİ;TOKAT MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2,0;0,0;2,0;168,77;
10.10.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001173266;HÜLYA ECZANESİ;GIRESUN MERKEZ -2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;50,0;15,0;65,0;4.219,31;
13.10.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001700653;KIR ECZANESI;ORDU FATSA;DESTEVİT;Destevit 20.000 IU 14 Yumuşak Kapsül;1,0;0,0;1,0;86,76;
03.10.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001216154;ELVAN ECZANESİ;TRABZON MERKEZ -2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;116,0;44,0;160,0;9.788,8;
30.10.2025;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001148554;SAĞLIK ECZANESİ;AGRI ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10,0;3,0;13,0;781,79;
29.10.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001730612;KUMSAL ECZANESİ;SINOP DOGU-BATI ILCELER;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;2,0;0,0;2,0;108,66;
01.10.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001486359;SU ECZANESİ;ORDU GUNEY ILCELER -1;DEXİREN;Dexiren 25 mg 20 Film Kaplı Tablet;10,0;5,0;15,0;421,74;
15.10.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001156184;BÜYÜK ECZANESİ;CORUM KARGI+OSMANCIK;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10,0;4,0;14,0;781,79;
07.10.2025;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001488797;SEYHUN ECZANESİ;ERZURUM MERKEZ -3;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3,0;0,0;3,0;253,16;
31.10.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001179237;BURAK ECZANESİ;TOKAT TURHAL;DESTEVİT;Destevit 20.000 IU 14 Yumuşak Kapsül;10,0;1,0;11,0;867,6;
09.10.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001127818;HASKÖY NALAN ECZANESİ;SAMSUN CANIK;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2,0;0,0;2,0;168,77;
