Tarih;Ana Depo;Depo;GLN;Kontak Adı;Kontak Brick;Ürün;Form;Satış Adet;Satış MF;Toplam Satış;Toplam Tutar
09.04.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001121670;ŞİFA ECZANESİ;SINOP DOGU-BATI ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;115,0;85,0;200,0;8.990,56
15.04.2025;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001111206;YONCALIK ECZANESİ;ERZURUM MERKEZ -3;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;-50,0;-30,0;-80,0;-3.908,94
25.04.2025;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001115778;SELÇUK ECZANESİ;ERZURUM MERKEZ -3;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;20,0;6,0;26,0;1.086,6
18.04.2025;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001233342;SAĞLIK ECZANESİ;ERZINCAN MERKEZ;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;30,0;15,0;45,0;2.345,36
04.04.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001450916;YILDIZ ECZANESİ;ORDU FATSA;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20,0;3,0;23,0;1.687,72
04.04.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001758043;ÖNAL ECZANE;GIRESUN MERKEZ -2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86
17.04.2025;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001633913;IŞIK ECZANESİ;TRABZON AKCAABAT;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;130,0;70,0;200,0;7.062,9
19.04.2025;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001717651;LİVA İNGEC ECZANESİ;ERZURUM MERKEZ -1;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;5,0;0,0;5,0;271,65
10.04.2025;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001561032;ELİF ECZANESİ;AGRI ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3,0;0,0;3,0;253,16
14.04.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001163847;KARAMANOĞLU ECZANESİ;ORDU MERKEZ -2;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;2,0;0,0;2,0;108,66
28.04.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001190881;ARTOVA ECZANESİ;TOKAT BATI ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;30,0;15,0;45,0;2.345,36
11.04.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001197101;GONCA ECZANESİ;TOKAT MERKEZ -1;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;115,0;85,0;200,0;8.990,56
15.04.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001170678;GÖKHAN ECZANESİ;TOKAT DOGU ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10,0;4,0;14,0;781,79
30.04.2025;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001810277;TANCA ECZANESİ;AGRI ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2,0;0,0;2,0;168,77
29.04.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001428854;ÇAĞLA ECZANESİ;ORDU DOGU ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10,0;4,0;14,0;781,79
24.04.2025;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001110933;VATAN ECZANESİ;SAMSUN VEZIRKOPRU;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;115,0;85,0;200,0;8.990,56
