Tarih;Ana Depo;Depo;GLN;Kontak Adı;Kontak Brick;Ürün;Form;Satış Adet;Satış MF;Toplam Satış;Toplam Tutar;İade
26.11.2025;ALLIANCE HEALTHCARE;AH TRABZON;8680001205899;BÜYÜK ECZANESİ;TRABZON DOGU ILCELER -1;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;12,0;3,0;15,0;1.330,99;
18.11.2025;ALLIANCE HEALTHCARE;AH ERZURUM;8680001730889;KRAL ECZANESİ;AGRI MERKEZ;DEXİREN;Dexiren 25 mg 20 Film Kaplı Tablet;10,0;5,0;15,0;421,74;
20.11.2025;ALLIANCE HEALTHCARE;AH TRABZON;8680001830473;OF ECZANESİ;TRABZON DOGU ILCELER -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;1,0;0,0;1,0;84,39;
12.11.2025;ALLIANCE HEALTHCARE;AH ERZURUM;8680001101146;DOĞU ECZANESİ;ERZURUM MERKEZ -1;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;30,0;12,0;42,0;2.345,36;
13.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001436453;DEFNE ECZANESİ;SAMSUN ATAKUM;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3,0;0,0;3,0;253,16;
24.11.2025;ALLIANCE HEALTHCARE;AH TRABZON;8680001478842;NUR ECZANESİ;TRABZON MERKEZ -4;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;5,0;1,0;6,0;554,58;
08.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001121557;OVALI ECZANESİ;SAMSUN DOGU ILCELER;DEXİREN;Dexiren 25 mg 20 Film Kaplı Tablet;3,0;0,0;3,0;126,52;
12.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001678464;ÜNAL ECZANESİ;SAMSUN ATAKENT+19 MAYIS;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;5,0;1,0;6,0;554,58;
12.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001144976;ÖNDER ECZANESİ;CORUM GUNEYBATI ILCELER;DEXİREN;Dexiren 25 mg 20 Film Kaplı Tablet;60,0;40,0;100,0;2.530,44;
09.11.2025;ALLIANCE HEALTHCARE;AH ORDU;8680001160631;HIZIR ECZANESİ;ORDU MERKEZ -1;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;5,0;1,0;6,0;554,58;
08.11.2025;ALLIANCE HEALTHCARE;AH ORDU;8680001518586;ELİF ECZANESİ;ORDU BATI ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20,0;3,0;23,0;1.687,72;
10.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001443130;ÇAĞLAR ECZANESİ;SINOP DOGU-BATI ILCELER;DEXİREN;Dexiren 25 mg 20 Film Kaplı Tablet;10,0;2,0;12,0;421,74;
12.11.2025;ALLIANCE HEALTHCARE;AH ERZURUM;8680001232307;GÜROL ECZANESİ;ERZINCAN MERKEZ;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;100,0;60,0;160,0;7.817,88;
17.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001124039;GÜVEN ECZANESİ;SINOP DOGU-BATI ILCELER;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;10,0;1,0;11,0;543,3;
25.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001101153;CEDİT ECZANESİ;SAMSUN ILKADIM - 2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;4,0;0,0;4,0;337,54;
08.11.2025;ALLIANCE HEALTHCARE;AH ORDU;8680001148233;ÇELENK ECZANESİ;ORDU MERKEZ -1;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;30,0;10,0;40,0;3.327,48;
03.11.2025;ALLIANCE HEALTHCARE;AH TRABZON;8680001277155;DEVA ECZANESİ;TRABZON MERKEZ -3;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86;
25.11.2025;ALLIANCE HEALTHCARE;AH TRABZON;8680001340095;ARDA ECZANESİ;TRABZON MERKEZ -3;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;-10,0;-1,0;-11,0;-543,3;
03.11.2025;ALLIANCE HEALTHCARE;AH ERZURUM;8680001499601;AĞIRMAN ECZANESİ;ERZURUM MERKEZ -3;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;-6,0;-1,0;-7,0;-665,52;
19.11.2025;ALLIANCE HEALTHCARE;AH ORDU;8680001419333;CÖMERT ECZANESİ;ORDU GUNEY ILCELER -1;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;30,0;10,0;40,0;3.327,48;
12.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001443130;ÇAĞLAR ECZANESİ;SINOP DOGU-BATI ILCELER;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;10,0;1,0;11,0;543,3;
10.11.2025;ALLIANCE HEALTHCARE;AH ERZURUM;8680001676064;KOMBİNA ECZANESİ;ERZURUM MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3,0;0,0;3,0;253,16;
11.11.2025;ALLIANCE HEALTHCARE;AH ORDU;8680001141746;ALTAŞ ECZANESİ;ORDU MERKEZ -3;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86;
17.11.2025;ALLIANCE HEALTHCARE;AH TRABZON;8680001116195;YÜCEL ECZANESİ;RIZE DOGU ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86;
13.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001732302;EVCİ ECZANESİ;SAMSUN TERME;DEXİREN;Dexiren 25 mg 20 Film Kaplı Tablet;3,0;0,0;3,0;126,52;
07.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001461233;GAZİ ÇATAK ECZANESİ;TOKAT MERKEZ -1;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;1,0;0,0;1,0;54,33;
07.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001422784;SAĞLIK ECZANESİ;SAMSUN TERME;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;20,0;4,0;24,0;1.086,6;
26.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001418961;LADİK ELİF ECZANESİ;SAMSUN HAVZA+KAVAK+LADIK;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86;
11.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001468553;KARTAL ECZANESİ;CORUM MERKEZ -3;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;2,0;0,0;2,0;108,66;
17.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001118144;SÖĞÜTLÜ ECZANESİ;SAMSUN TERME;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;10,0;2,0;12,0;1.109,16;
25.11.2025;ALLIANCE HEALTHCARE;AH ORDU;8680001411962;ŞÜKRAN ECZANESİ;GIRESUN DOGU ILCELER -2;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;12,0;3,0;15,0;1.330,99;
17.11.2025;ALLIANCE HEALTHCARE;AH TRABZON;8680001225002;SEZER ECZANESİ;TRABZON MERKEZ -2;DEXİREN;Dexiren 25 mg 20 Film Kaplı Tablet;3,0;0,0;3,0;126,52;
12.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001451104;SANDIKÇI ECZANESİ;SAMSUN BAFRA;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;100,0;60,0;160,0;7.817,88;
19.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001126996;ÖZDEMİR ECZANESİ;SAMSUN TERME;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;12,0;3,0;15,0;1.330,99;
04.11.2025;ALLIANCE HEALTHCARE;AH ORDU;8680001601011;YILMAZ ECZANESİ;ORDU MERKEZ -1;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10,0;3,0;13,0;781,79;
28.11.2025;ALLIANCE HEALTHCARE;AH ORDU;8680001233953;YAMANER ECZANESİ;ORDU UNYE;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;4,0;0,0;4,0;217,32;
14.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001124381;ÖNCEL ECZANESİ;SINOP DOGU-BATI ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;5,0;0,0;5,0;421,93;
27.11.2025;ALLIANCE HEALTHCARE;AH SAMSUN;8680001717705;SEVİL ECZANESI;AMASYA MERKEZ -2;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;2,0;0,0;2,0;156,36;
