Tarih;Ana Depo;Depo;GLN;Kontak Adı;Kontak Brick;Ürün;Form;Satış Adet;Satış MF;Toplam Satış;Toplam Tutar
01.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001644940;MİLA ECZANESİ;SAMSUN ATAKENT+19 MAYIS;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86
03.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001108671;ENGİZ ECZANESİ;SAMSUN ATAKENT+19 MAYIS;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86
04.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001650309;DEMİRKOL ECZANESİ;SAMSUN ADALET;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;1,0;0,0;1,0;84,39
04.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001736614;MELEK ECZANESİ;SAMSUN ATAKUM;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3,0;0,0;3,0;253,16
04.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001111565;ERDEN ECZANESİ;SAMSUN ATAKUM;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2,0;0,0;2,0;168,77
04.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001469994;AYNUR ECZANESİ;SAMSUN CANIK;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2,0;0,0;2,0;168,77
05.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001104628;CAN ECZANESİ;SAMSUN ATAKENT+19 MAYIS;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86
05.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001339518;DERECİK ECZANESİ;SAMSUN ATAKENT+19 MAYIS;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20,0;3,0;23,0;1.687,72
05.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001446247;DEVA ECZANESİ;SAMSUN ATAKENT+19 MAYIS;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86
05.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001102709;BAYRAK ECZANESİ;SAMSUN ALACAM+YAKAKENT;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;50,0;15,0;65,0;4.219,31
07.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001678464;ÜNAL ECZANESİ;SAMSUN ATAKENT+19 MAYIS;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86
10.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001133086;ÇAĞDAŞ ECZANESİ;SAMSUN TERME;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3,0;0,0;3,0;253,16
10.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001438662;ATAKUM PARK ECZANESİ;SAMSUN ATAKUM;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86
11.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001111565;ERDEN ECZANESİ;SAMSUN ATAKUM;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3,0;0,0;3,0;253,16
11.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001111565;ERDEN ECZANESİ;SAMSUN ATAKUM;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;5,0;0,0;5,0;421,93
12.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001736614;MELEK ECZANESİ;SAMSUN ATAKUM;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3,0;0,0;3,0;253,16
12.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001133086;ÇAĞDAŞ ECZANESİ;SAMSUN TERME;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;1,0;0,0;1,0;84,39
14.03.2025;DİLEK ECZA DEPOSU;DİLEK ANTALYA;8680001491445;KANDAZ ECZANESİ;SAMSUN TERME;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;843,86
