;;;;;;;;;;;;;;;;;;;;;
2026;;;OCAK;;;ŞUBAT;;;MART;;;NİSAN;;;MAYIS;;;HAZİRAN;;;
PANTOPRAZOL PAZARI;İLKO İLAÇ;PANOCER ;10+3 / 30+12;50+25 / 100+60;50+25/100+60;10+3 / 30+12;50+25 / 100+60;50+25 / 100+60;10+3 / 30+12; - ;50+25 / 100+60;10+3 / 30+12;50+25 / 100+60 / 165+135;50+25 / 100+60 / 165+135;10+3 / 30+12;50+25 / 100+60 / 165+135;50+25 / 100+60 / 165+135;10+3 / 30+12;50+25 / 100+60 / 165+135;50+25 / 100+60 / 165+135;
PANTOPRAZOL PAZARI;SANDOZ ILAC;PANTO; - ;;; - ;;; - ;;; - ;;; - ;;; - ;;;
PANTOPRAZOL PAZARI;NOBEL;PULCET;10+1 / 30+4;;;10+1 / 20+3 / 60+12 / 100+25;;;10+1 / 30+4;;;10+1 / 30+4;;;10+1 / 30+4;;;10+1 / 30+4;;;
PANTOPRAZOL PAZARI;TAKEDA;PANTPAS;10+1 / 15+3;;;10+1;;;10+1 / 15+3 / 40+9;;;10+1 / 20+4 / 40+10 / 80+24;;;10+1;;;10+1;;;
PANTOPRAZOL PAZARI;HUMANİS SAĞLIK;PANTACTİVE;5+1 / 25+10 / 80+60;;;5+1 / 25+10 / 80+60;;;5+1 / 25+10 / 200+160;;;5+1 / 25+10 / 80+60;;;5+1 / 25+10 / 80+60;;;5+1 / 25+10 / 80+60;;;
PANTOPRAZOL PAZARI;ABDI IBRAHIM;PROTONEX;10+1;;;10+1;;;10+1 / 20+4;;;10+1 / 20+4;;;10+1;;;10+1 / 20+4;;;
PANTOPRAZOL PAZARI;ALI RAIF;PROTINUM ;5+1 / 10+3 / 30+15;;;5+1 / 10+3 / 30+15;;;5+1 / 10+3 / 30+15;;;5+1 / 10+3 / 30+15;;;5+1 / 10+3 / 30+15;;;5+1 / 10+3 / 30+15;;;
PANTOPRAZOL PAZARI;DEVA HOLDING;PANDEV;3+1 / 5+2 / 10+4 / 15+9 / 25+20;;;3+1 / 5+2 / 10+4 / 15+9 / 25+20;;;3+1 / 5+2 / 10+4 / 15+9 / 25+20;;;3+1 / 5+2 / 10+4 / 15+9;;;3+1 / 5+2 / 10+4 / 15+9;;;3+1 / 5+2 / 10+4 / 15+9 / 25+16;;;
PANTOPRAZOL PAZARI;SNT ECZA;PANTHEC;5+1 / 10+5 / 10+2 / 15+12 / 25+25;;; - ;;;5+1;;;5+1 / 6+3 / 10+7 / 15+15;;;5+1 / 10+2;;;5+3 / 10+7 / 15+15;;;
PANTOPRAZOL PAZARI;BIOFARMA;PANREF ;5+1 / 8+3 / 12+5;;;5+1 / 8+3 / 12+5;;;5+1 / 8+3 / 12+5;;;5+1 / 8+3 / 12+5;;;5+1 / 8+3 / 12+5 / 16+10 / 20+14;;;5+1 / 8+3 / 12+5 / 16+10 / 20+14;;;
PANTOPRAZOL PAZARI;DROGSAN;PROTECH ;4+2 / 10+6 / 15+10;;;4+2 / 10+6 / 15+10;;;4+2 / 10+6 / 15+10;;;4+2 / 10+6 / 15+10 / 20+14;;;4+2 / 10+6 / 15+10 / 20+14;;;4+2 / 10+6 / 15+10;;;
ACİDPASS PAZARI;İLKO İLAÇ;ACIDPASS 12 TB;10+1 / 20+3;50+10;50+10;10+1 / 20+3;50+10;50+10;10+1 / 20+3; - ;50+10;10+1 / 20+3;50+15 / 100+35;50+15 / 100+35;10+1 / 20+3;50+15 / 100+35;50+15 / 100+35;10+1 / 20+3;50+10;50+10;
ACİDPASS PAZARI;BAYER;RENNIE CIG 680 MG 48 TB ;20+1;;;20+1;;;20+1;;;20+1;;;20+1 / 50+5 / 120+24;;;20+1 / 50+5 / 120+24;;;
ACİDPASS PAZARI;SANDOZ ILAC;FAMODIN PLUS TAB CHW 10MG 800MG 12 /165;10+1;;;10+1;;;10+1;;;10+1;;;10+1;;; - ;;;
ACİDPASS PAZARI;BAYER;TALCID 500 MG 40 TB;20+1;;;20+1;;;20+1;;;20+1;;;20+1 / 50+5 / 120+24;;;20+1;;;
ACİDPASS PAZARI;BAYER;TALCID FORTE 1 GR 24 TB;-;;;-;;;-;;;-;;;-;;;-;;;
ACİDPASS PAZARI;HUMANIS;TRIGAST 10MG/800MG/165MG 12 TB;10+1 / 20+3 / 50+10;;;10+1 / 20+3 / 50+10;;;10+1/20+3/50+10;;;10+1 / 20+3 / 50+10;;;10+1 / 20+3 / 50+10;;;10+1 / 20+3 / 50+10;;;
ACİDPASS PAZARI;HUMANIS;GASTREN 48 ÇİĞ.TAB.; - ;;; - ;;; - ;;; - ;;; - ;;; - ;;;
ACİDPASS PAZARI;RECKITT BENCKISER TEM;GAVISCON DOUBLE ACTION CIG TB;10+1 / 30+6;;;10+1 / 30+6;;;10+1/30+6;;;10+1 / 30+6;;;5+1 / 30+6 / 90+25;;;10+1 / 30+6;;;
MOKSEFEN PAZARI;İLKO İLAÇ;MOKSEFEN ;5+1 / 12+3;30+10;30+10;5+1 / 12+3;30+10;30+10;5+1/12+3; - ;30+10;5+1 / 12+3;30+15;30+15;5+1 / 10+3 / 20+10; - ; - ;5+1 / 10+3 / 20+10; - ; - ;
MOKSEFEN PAZARI;    BAYER;AVELOX 400 MG 7 TB;-;;;-;;;-;;;-;;;-;;;-;;;
MOKSEFEN PAZARI;    ATABAY;ATAFLOKS;4+1;;;4+1;;;4+1;;;4+1;;;4+1 / 10+3;;;3+1;;;
MOKSEFEN PAZARI;    BASEL ILAC;MOXITEC 400 MG 7 TB;-;;;-;;;-;;;-;;;-;;;-;;;
MOKSEFEN PAZARI;ABDI IBRAHIM;MOXAI 400 MG 7 TB; - ;;; - ;;; - ;;;5+1 / 15+5 / 30+15;;; - ;;; - ;;;
MOKSEFEN PAZARI;LİLYUM İLAÇ;MOXITAB 400 MG 7 TB;5+1 / 10+3 / 30+10;;;5+1 / 10+3 / 30+10;;;5+1/10+3/20+10;;;5+1 / 10+3 / 20+10;;;5+1 / 10+3 / 30+10;;;5+1 / 10+3 / 15+5;;;
FAMTREC PAZARI;İLKO İLAÇ;FAMTREC;;;;;;;;;;;;;;;;;;;
FAMTREC PAZARI;ABBOTT;BRUFEN 600 MG 20 TB; - ;;;;;;;;; - ;;;23+2 / 55+10 / 140+40 / 710+250 / 1150+450;;;23+2 / 55+10 / 140+40 / 710+250 / 1150+450;;;
