BÖLGE;TTT;BRİCK;İLAÇ GRUBU;İLAÇ; TOPLAM ;TOPLAM PPI %; 1.HAFTA ;1.H PPI %; 2.HAFTA ;2.H PPI %; 3.HAFTA ;3.H PPI %; 4.HAFTA ;4.H PPI %; 5.HAFTA ;5.H PPI %; 6.HAFTA ;6.H PPI %; 7.HAFTA ;7.H PPI %; 8.HAFTA ;8.H PPI %; 9.HAFTA ;9.H PPI %
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;PANTAPROZOL PAZARI;PANOCER TOPLAM; 1.341 ;27,97%; 114 ;28,29%; 46 ;12,53%; 70 ;16,47%; 80 ;16,19%; 488 ;33,70%; 339 ;57,17%; -   ;0,00%; 204 ;31,63%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;PANTAPROZOL PAZARI;PANTO; 1.080 ;22,52%; 97 ;24,07%; 94 ;25,61%; 113 ;26,59%; 186 ;37,65%; 144 ;9,94%; 128 ;21,59%; 173 ;41,19%; 145 ;22,48%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;PANTAPROZOL PAZARI;PANTACTIVE; 935 ;19,50%; 67 ;16,63%; 5 ;1,36%; 58 ;13,65%; 70 ;14,17%; 376 ;25,97%; 3 ;0,51%; 175 ;41,67%; 181 ;28,06%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;PANTAPROZOL PAZARI;DIGER PANTAPROZOLE; 1.149 ;23,96%; 95 ;23,57%; 167 ;45,50%; 150 ;35,29%; 100 ;20,24%; 388 ;26,80%; 97 ;16,36%; 48 ;11,43%; 104 ;16,12%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;PANTAPROZOL PAZARI;PULCET; 290 ;6,05%; 30 ;7,44%; 55 ;14,99%; 34 ;8,00%; 58 ;11,74%; 52 ;3,59%; 26 ;4,38%; 24 ;5,71%; 11 ;1,71%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;PANTAPROZOL PAZARI; PANTOPRAZOLE PAZARI TOPLAM; 4.795 ;100,00%; 403 ;100,00%; 367 ;100,00%; 425 ;100,00%; 494 ;100,00%; 1.448 ;100,00%; 593 ;100,00%; 420 ;100,00%; 645 ;100,00%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;ACIDPASS PAZARI;ACIDPASS TOPLAM; 68 ;4,87%; 10 ;5,29%; 8 ;10,13%; 5 ;2,05%; 14 ;8,81%; 3 ;1,02%; 3 ;2,16%; 3 ;1,65%; 22 ;20,37%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;ACIDPASS PAZARI;TRIGAST; 630 ;45,16%; 113 ;59,79%; 6 ;7,59%; 88 ;36,07%; 110 ;69,18%; 192 ;65,08%; 44 ;31,65%; 53 ;29,12%; 24 ;22,22%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;ACIDPASS PAZARI;TALCID; 159 ;11,40%; 9 ;4,76%; 7 ;8,86%; 39 ;15,98%; 11 ;6,92%; 30 ;10,17%; 15 ;10,79%; 18 ;9,89%; 30 ;27,78%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;ACIDPASS PAZARI;RENNIE; 525 ;37,63%; 56 ;29,63%; 58 ;73,42%; 111 ;45,49%; 23 ;14,47%; 67 ;22,71%; 74 ;53,24%; 106 ;58,24%; 30 ;27,78%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;ACIDPASS PAZARI;DIGER ACIDPASS; 3 ;0,22%; 1 ;0,53%; -   ;0,00%; 1 ;0,41%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 1 ;0,55%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;ACIDPASS PAZARI;FAMODİN PLUS; 10 ;0,72%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 1 ;0,63%; 3 ;1,02%; 3 ;2,16%; 1 ;0,55%; 2 ;1,85%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;ACIDPASS PAZARI; ACIDPASS PAZARI TOPLAM; 1.395 ;100,00%; 189 ;100,00%; 79 ;100,00%; 244 ;100,00%; 159 ;100,00%; 295 ;100,00%; 139 ;100,00%; 182 ;100,00%; 108 ;100,00%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;MOKSİFLOKSASİN PAZARI;MOKSEFEN; 125 ;36,44%; 32 ;51,61%; -   ;0,00%; -   ;0,00%; 30 ;69,77%; 6 ;9,09%; 6 ;24,00%; -   ;0,00%; 51 ;70,83%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;MOKSİFLOKSASİN PAZARI;AVELOX; 152 ;44,31%; 25 ;40,32%; 15 ;100,00%; 30 ;88,24%; 9 ;20,93%; 17 ;25,76%; 19 ;76,00%; 16 ;61,54%; 21 ;29,17%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;MOKSİFLOKSASİN PAZARI;MOXAI; 5 ;1,46%; 5 ;8,06%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;MOKSİFLOKSASİN PAZARI;DİĞER MOKSİFLOKSASİN; 51 ;14,87%; -   ;0,00%; -   ;0,00%; 4 ;11,76%; 4 ;9,30%; 33 ;50,00%; -   ;0,00%; 10 ;38,46%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;MOKSİFLOKSASİN PAZARI;DİĞER LEVOFLOKSASİN; 10 ;2,92%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 10 ;15,15%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;MOKSİFLOKSASİN PAZARI;MOKSİFLOKSASİN PAZARI TOPLAM; 343 ;100,00%; 62 ;100,00%; 15 ;100,00%; 34 ;100,00%; 43 ;100,00%; 66 ;100,00%; 25 ;100,00%; 26 ;100,00%; 72 ;100,00%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;GRİPORT COLD PAZARI;A FERİN; 1.077 ;27,05%; 396 ;62,07%; 101 ;24,94%; 158 ;40,31%; 33 ;9,46%; 111 ;12,64%; 37 ;16,02%; 68 ;13,68%; 173 ;29,27%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;GRİPORT COLD PAZARI;GRİPORT COLD; 13 ;3,43%; -   ;0,00%; 7 ;1,73%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 6 ;1,02%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;GRİPORT COLD PAZARI;KATARIN; 345 ;8,67%; 69 ;10,82%; 82 ;20,25%; 45 ;11,48%; 25 ;7,16%; 14 ;1,59%; 25 ;10,82%; 70 ;14,08%; 15 ;2,54%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;GRİPORT COLD PAZARI;NUROFEN COLD FLUE; 379 ;9,52%; 30 ;4,70%; 27 ;6,67%; 18 ;4,59%; 18 ;5,16%; 75 ;8,54%; 15 ;6,49%; 165 ;33,20%; 31 ;5,25%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;GRİPORT COLD PAZARI;OTHER COLD PREP; 1.403 ;35,24%; 55 ;8,62%; 157 ;38,77%; 138 ;35,20%; 185 ;53,01%; 493 ;56,15%; 78 ;33,77%; 71 ;14,29%; 226 ;38,24%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;GRİPORT COLD PAZARI;OTHER COLD PREP - VIT C; 650 ;16,33%; 47 ;7,37%; 30 ;7,41%; 31 ;7,91%; 83 ;23,78%; 180 ;20,50%; 66 ;28,57%; 108 ;21,73%; 105 ;17,77%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;GRİPORT COLD PAZARI;GRİBEX COLD FLUE; 114 ;2,86%; 41 ;6,43%; 1 ;0,25%; 2 ;0,51%; 5 ;1,43%; 5 ;0,57%; 10 ;4,33%; 15 ;3,02%; 35 ;5,92%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;GRİPORT COLD PAZARI;GRIPORT COLD PAZARI TOPLAM; 3.981 ;100,00%; 638 ;100,00%; 405 ;100,00%; 392 ;100,00%; 349 ;100,00%; 878 ;100,00%; 231 ;100,00%; 497 ;100,00%; 591 ;100,00%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;FAMTREC PAZARI;FAMTREC; 4 ;3,51%; -   ;0,00%; -   ;0,00%; 2 ;8,70%; -   ;0,00%; -   ;0,00%; 2 ;40,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;FAMTREC PAZARI;BRUFEN; 44 ;38,60%; 3 ;14,29%; -   ;0,00%; 9 ;39,13%; 6 ;100,00%; 8 ;28,57%; 3 ;60,00%; -   ;0,00%; 15 ;100,00%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;FAMTREC PAZARI;DİĞER FAMOTİDİN; 66 ;57,89%; 18 ;85,71%; 14 ;100,00%; 12 ;52,17%; -   ;0,00%; 20 ;71,43%; -   ;0,00%; 2 ;100,00%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;FAMTREC PAZARI;FAMOTİDİN PAZARI TOPLAM; 114 ;100,00%; 21 ;100,00%; 14 ;100,00%; 23 ;100,00%; 6 ;100,00%; 28 ;100,00%; 5 ;100,00%; 2 ;100,00%; 15 ;100,00%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;PANTAPROZOL PAZARI;PANOCER TOPLAM; 2.279 ;37,65%; 426 ;53,05%; 270 ;47,79%; 300 ;39,84%; 88 ;11,52%; 528 ;41,44%; 97 ;18,00%; 215 ;36,75%; 355 ;46,10%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;PANTAPROZOL PAZARI;PANTO; 1.497 ;24,73%; 117 ;14,57%; 86 ;15,22%; 194 ;25,76%; 455 ;59,55%; 166 ;13,03%; 120 ;22,26%; 164 ;28,03%; 195 ;25,32%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;PANTAPROZOL PAZARI;PANTACTIVE; 965 ;15,94%; 40 ;4,98%; 98 ;17,35%; 110 ;14,61%; 68 ;8,90%; 372 ;29,20%; 194 ;35,99%; 53 ;9,06%; 30 ;3,90%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;PANTAPROZOL PAZARI;DIGER PANTAPROZOLE; 912 ;15,07%; 146 ;18,18%; 71 ;12,57%; 111 ;14,74%; 95 ;12,43%; 172 ;13,50%; 102 ;18,92%; 87 ;14,87%; 128 ;16,62%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;PANTAPROZOL PAZARI;PULCET; 400 ;6,61%; 74 ;9,22%; 40 ;7,08%; 38 ;5,05%; 58 ;7,59%; 36 ;2,83%; 26 ;4,82%; 66 ;11,28%; 62 ;8,05%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;PANTAPROZOL PAZARI; PANTOPRAZOLE PAZARI TOPLAM; 6.053 ;100,00%; 803 ;100,00%; 565 ;100,00%; 753 ;100,00%; 764 ;100,00%; 1.274 ;100,00%; 539 ;100,00%; 585 ;100,00%; 770 ;100,00%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;ACIDPASS PAZARI;ACIDPASS TOPLAM; 84 ;7,57%; -   ;0,00%; 9 ;6,25%; 2 ;1,87%; 13 ;9,29%; 6 ;2,23%; 4 ;7,69%; 39 ;16,74%; 11 ;10,78%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;ACIDPASS PAZARI;TRIGAST; 274 ;24,71%; 9 ;14,52%; 83 ;57,64%; -   ;0,00%; 12 ;8,57%; 120 ;44,61%; 10 ;19,23%; 9 ;3,86%; 31 ;30,39%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;ACIDPASS PAZARI;TALCID; 170 ;15,33%; 19 ;30,65%; 13 ;9,03%; 34 ;31,78%; 32 ;22,86%; 21 ;7,81%; 17 ;32,69%; 13 ;5,58%; 21 ;20,59%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;ACIDPASS PAZARI;RENNIE; 567 ;51,13%; 31 ;50,00%; 34 ;23,61%; 70 ;65,42%; 82 ;58,57%; 122 ;45,35%; 19 ;36,54%; 170 ;72,96%; 39 ;38,24%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;ACIDPASS PAZARI;DIGER ACIDPASS; 4 ;0,36%; -   ;0,00%; 2 ;1,39%; 1 ;0,93%; 1 ;0,71%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;ACIDPASS PAZARI;FAMODİN PLUS; 10 ;0,90%; 3 ;4,84%; 3 ;2,08%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 2 ;3,85%; 2 ;0,86%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;ACIDPASS PAZARI; ACIDPASS PAZARI TOPLAM; 1.109 ;100,00%; 62 ;100,00%; 144 ;100,00%; 107 ;100,00%; 140 ;100,00%; 269 ;100,00%; 52 ;100,00%; 233 ;100,00%; 102 ;100,00%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;MOKSİFLOKSASİN PAZARI;MOKSEFEN; 107 ;57,53%; -   ;0,00%; 6 ;30,00%; 36 ;81,82%; 12 ;80,00%; 6 ;54,55%; 2 ;16,67%; 45 ;95,74%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;MOKSİFLOKSASİN PAZARI;AVELOX; 63 ;33,87%; 24 ;100,00%; 13 ;65,00%; 3 ;6,82%; 3 ;20,00%; 5 ;45,45%; 2 ;16,67%; -   ;0,00%; 13 ;100,00%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;MOKSİFLOKSASİN PAZARI;MOXAI; 5 ;2,69%; -   ;0,00%; 1 ;5,00%; 1 ;2,27%; -   ;0,00%; -   ;0,00%; 1 ;8,33%; 2 ;4,26%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;MOKSİFLOKSASİN PAZARI;DİĞER MOKSİFLOKSASİN; 4 ;2,15%; -   ;0,00%; -   ;0,00%; 4 ;9,09%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;MOKSİFLOKSASİN PAZARI;DİĞER LEVOFLOKSASİN; 7 ;3,76%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 7 ;58,33%; -   ;0,00%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;MOKSİFLOKSASİN PAZARI;MOKSİFLOKSASİN PAZARI TOPLAM; 186 ;100,00%; 24 ;100,00%; 20 ;100,00%; 44 ;100,00%; 15 ;100,00%; 11 ;100,00%; 12 ;100,00%; 47 ;100,00%; 13 ;100,00%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;GRİPORT COLD PAZARI;A FERİN; 462 ;10,21%; 46 ;18,85%; 88 ;25,14%; 53 ;17,43%; 35 ;11,40%; 76 ;3,38%; 53 ;34,19%; 38 ;6,17%; 73 ;24,33%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;GRİPORT COLD PAZARI;GRİPORT COLD; 41 ;70,69%; 1 ;0,41%; 27 ;7,71%; 7 ;2,30%; -   ;0,00%; 6 ;0,27%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;GRİPORT COLD PAZARI;KATARIN; 861 ;19,03%; 85 ;34,84%; 50 ;14,29%; 55 ;18,09%; 71 ;23,13%; 140 ;6,22%; 20 ;12,90%; 400 ;64,94%; 40 ;13,33%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;GRİPORT COLD PAZARI;NUROFEN COLD FLUE; 58 ;1,28%; 9 ;3,69%; 3 ;0,86%; 5 ;1,64%; 6 ;1,95%; 22 ;0,98%; 8 ;5,16%; 1 ;0,16%; 4 ;1,33%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;GRİPORT COLD PAZARI;OTHER COLD PREP; 1.995 ;44,09%; 91 ;37,30%; 107 ;30,57%; 143 ;47,04%; 145 ;47,23%; 1.236 ;54,96%; 41 ;26,45%; 92 ;14,94%; 140 ;46,67%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;GRİPORT COLD PAZARI;OTHER COLD PREP - VIT C; 1.092 ;24,13%; 10 ;4,10%; 75 ;21,43%; 41 ;13,49%; 50 ;16,29%; 766 ;34,06%; 28 ;18,06%; 85 ;13,80%; 37 ;12,33%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;GRİPORT COLD PAZARI;GRİBEX COLD FLUE; 16 ;0,35%; 2 ;0,82%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 3 ;0,13%; 5 ;3,23%; -   ;0,00%; 6 ;2,00%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;GRİPORT COLD PAZARI;GRIPORT COLD PAZARI TOPLAM; 4.525 ;100,00%; 244 ;100,00%; 350 ;100,00%; 304 ;100,00%; 307 ;100,00%; 2.249 ;100,00%; 155 ;100,00%; 616 ;100,00%; 300 ;100,00%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;FAMTREC PAZARI;FAMTREC; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;FAMTREC PAZARI;BRUFEN; 57 ;43,51%; 13 ;52,00%; 16 ;39,02%; 2 ;22,22%; -   ;0,00%; 8 ;50,00%; 9 ;33,33%; 3 ;100,00%; 6 ;75,00%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;FAMTREC PAZARI;DİĞER FAMOTİDİN; 74 ;56,49%; 12 ;48,00%; 25 ;60,98%; 7 ;77,78%; 2 ;100,00%; 8 ;50,00%; 18 ;66,67%; -   ;0,00%; 2 ;25,00%;;
SAMSUN;KURSAD KARADAG;AGRI ILCELER;FAMTREC PAZARI;FAMOTİDİN PAZARI TOPLAM; 131 ;100,00%; 25 ;100,00%; 41 ;100,00%; 9 ;100,00%; 2 ;100,00%; 16 ;100,00%; 27 ;100,00%; 3 ;100,00%; 8 ;100,00%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;PANTAPROZOL PAZARI;PANOCER TOPLAM; 801 ;19,04%; 300 ;50,00%; 2 ;0,98%; -   ;0,00%; 89 ;17,28%; 215 ;18,71%; 26 ;6,63%; 13 ;2,80%; 156 ;29,66%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;PANTAPROZOL PAZARI;PANTO; 1.214 ;28,85%; 134 ;22,33%; 60 ;29,27%; 156 ;43,82%; 238 ;46,21%; 150 ;13,05%; 108 ;27,55%; 205 ;44,09%; 163 ;30,99%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;PANTAPROZOL PAZARI;PANTACTIVE; 813 ;19,32%; 3 ;0,50%; -   ;0,00%; 18 ;5,06%; 30 ;5,83%; 572 ;49,78%; 104 ;26,53%; 40 ;8,60%; 46 ;8,75%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;PANTAPROZOL PAZARI;DIGER PANTAPROZOLE; 950 ;22,58%; 114 ;19,00%; 121 ;59,02%; 35 ;9,83%; 131 ;25,44%; 178 ;15,49%; 119 ;30,36%; 127 ;27,31%; 125 ;23,76%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;PANTAPROZOL PAZARI;PULCET; 430 ;10,22%; 49 ;8,17%; 22 ;10,73%; 147 ;41,29%; 27 ;5,24%; 34 ;2,96%; 35 ;8,93%; 80 ;17,20%; 36 ;6,84%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;PANTAPROZOL PAZARI; PANTOPRAZOLE PAZARI TOPLAM; 4.208 ;100,00%; 600 ;100,00%; 205 ;100,00%; 356 ;100,00%; 515 ;100,00%; 1.149 ;100,00%; 392 ;100,00%; 465 ;100,00%; 526 ;100,00%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;ACIDPASS PAZARI;ACIDPASS TOPLAM; 157 ;10,62%; 53 ;38,41%; 5 ;2,91%; 20 ;10,31%; 10 ;5,41%; 34 ;14,35%; 4 ;2,29%; 10 ;4,29%; 21 ;14,58%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;ACIDPASS PAZARI;TRIGAST; 541 ;36,60%; 51 ;36,96%; 49 ;28,49%; 143 ;73,71%; 59 ;31,89%; 93 ;39,24%; 76 ;43,43%; 39 ;16,74%; 31 ;21,53%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;ACIDPASS PAZARI;TALCID; 167 ;11,30%; 18 ;13,04%; 36 ;20,93%; 11 ;5,67%; 43 ;23,24%; 1 ;0,42%; 19 ;10,86%; 31 ;13,30%; 8 ;5,56%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;ACIDPASS PAZARI;RENNIE; 604 ;40,87%; 15 ;10,87%; 82 ;47,67%; 18 ;9,28%; 73 ;39,46%; 106 ;44,73%; 76 ;43,43%; 151 ;64,81%; 83 ;57,64%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;ACIDPASS PAZARI;DIGER ACIDPASS; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;ACIDPASS PAZARI;FAMODİN PLUS; 9 ;0,61%; 1 ;0,72%; -   ;0,00%; 2 ;1,03%; -   ;0,00%; 3 ;1,27%; -   ;0,00%; 2 ;0,86%; 1 ;0,69%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;ACIDPASS PAZARI; ACIDPASS PAZARI TOPLAM; 1.478 ;100,00%; 138 ;100,00%; 172 ;100,00%; 194 ;100,00%; 185 ;100,00%; 237 ;100,00%; 175 ;100,00%; 233 ;100,00%; 144 ;100,00%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;MOKSİFLOKSASİN PAZARI;MOKSEFEN; 15 ;12,30%; -   ;0,00%; -   ;0,00%; 6 ;46,15%; -   ;0,00%; 1 ;4,55%; 2 ;20,00%; -   ;0,00%; 6 ;37,50%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;MOKSİFLOKSASİN PAZARI;AVELOX; 73 ;59,84%; 13 ;81,25%; 8 ;88,89%; 3 ;23,08%; 21 ;80,77%; 9 ;40,91%; 8 ;80,00%; 8 ;80,00%; 3 ;18,75%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;MOKSİFLOKSASİN PAZARI;MOXAI; 27 ;22,13%; 3 ;18,75%; 1 ;11,11%; 4 ;30,77%; 5 ;19,23%; 5 ;22,73%; -   ;0,00%; 2 ;20,00%; 7 ;43,75%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;MOKSİFLOKSASİN PAZARI;DİĞER MOKSİFLOKSASİN; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;MOKSİFLOKSASİN PAZARI;DİĞER LEVOFLOKSASİN; 7 ;5,74%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 7 ;31,82%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;MOKSİFLOKSASİN PAZARI;MOKSİFLOKSASİN PAZARI TOPLAM; 122 ;100,00%; 16 ;100,00%; 9 ;100,00%; 13 ;100,00%; 26 ;100,00%; 22 ;100,00%; 10 ;100,00%; 10 ;100,00%; 16 ;100,00%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;GRİPORT COLD PAZARI;A FERİN; 341 ;13,38%; 18 ;7,44%; 55 ;18,21%; 56 ;37,09%; 71 ;23,36%; 21 ;5,69%; 39 ;24,53%; 47 ;5,88%; 34 ;15,38%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;GRİPORT COLD PAZARI;GRİPORT COLD; 13 ;14,94%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 13 ;3,52%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;GRİPORT COLD PAZARI;KATARIN; 326 ;12,79%; 28 ;11,57%; 61 ;20,20%; 18 ;11,92%; 13 ;4,28%; 8 ;2,17%; 13 ;8,18%; 180 ;22,50%; 5 ;2,26%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;GRİPORT COLD PAZARI;NUROFEN COLD FLUE; 87 ;3,41%; 13 ;5,37%; 7 ;2,32%; 9 ;5,96%; 21 ;6,91%; 12 ;3,25%; 3 ;1,89%; 15 ;1,88%; 7 ;3,17%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;GRİPORT COLD PAZARI;OTHER COLD PREP; 520 ;20,41%; 82 ;33,88%; 60 ;19,87%; 39 ;25,83%; 51 ;16,78%; 67 ;18,16%; 21 ;13,21%; 146 ;18,25%; 54 ;24,43%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;GRİPORT COLD PAZARI;OTHER COLD PREP - VIT C; 1.123 ;44,07%; 66 ;27,27%; 114 ;37,75%; 10 ;6,62%; 148 ;48,68%; 222 ;60,16%; 83 ;52,20%; 407 ;50,88%; 73 ;33,03%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;GRİPORT COLD PAZARI;GRİBEX COLD FLUE; 138 ;5,42%; 35 ;14,46%; 5 ;1,66%; 19 ;12,58%; -   ;0,00%; 26 ;7,05%; -   ;0,00%; 5 ;0,63%; 48 ;21,72%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;GRİPORT COLD PAZARI;GRIPORT COLD PAZARI TOPLAM; 2.548 ;100,00%; 242 ;100,00%; 302 ;100,00%; 151 ;100,00%; 304 ;100,00%; 369 ;100,00%; 159 ;100,00%; 800 ;100,00%; 221 ;100,00%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;FAMTREC PAZARI;FAMTREC; 7 ;6,42%; 2 ;7,14%; -   ;0,00%; 5 ;18,52%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;KURSAD KARADAG;AGRI MERKEZ;FAMTREC PAZARI;BRUFEN; 86 ;78,90%; 25 ;89,29%; 9 ;90,00%; 10 ;37,04%; 4 ;100,00%; 7 ;100,00%; 7 ;77,78%; 8 ;100,00%; 16 ;100,00%;;
